"","Filename","Date","Hour","Foraging","Total_Events","Year","Month","Day"
"96","Potomac 2016 03 28 POD2591 file01.CP98",2016-06-15,23,TRUE,1,"2016","06","15"
"97","Potomac 2016 03 28 POD2591 file01.CP99",2016-06-16,6,FALSE,21,"2016","06","16"
"98","Potomac 2016 03 28 POD2591 file01.CP100",2016-06-16,6,TRUE,2,"2016","06","16"
"99","Potomac 2016 03 28 POD2591 file01.CP101",2016-06-16,7,FALSE,2,"2016","06","16"
"100","Potomac 2016 03 28 POD2591 file01.CP102",2016-06-16,7,TRUE,3,"2016","06","16"
"101","Potomac 2016 03 28 POD2591 file01.CP103",2016-06-16,12,FALSE,1,"2016","06","16"
"102","Potomac 2016 03 28 POD2591 file01.CP104",2016-06-16,12,TRUE,2,"2016","06","16"
"103","Potomac 2016 03 28 POD2591 file01.CP105",2016-06-16,16,FALSE,2,"2016","06","16"
"104","Potomac 2016 03 28 POD2591 file01.CP106",2016-06-16,16,TRUE,3,"2016","06","16"
"105","Potomac 2016 03 28 POD2591 file01.CP107",2016-06-17,2,FALSE,6,"2016","06","17"
"106","Potomac 2016 03 28 POD2591 file01.CP108",2016-06-17,2,TRUE,4,"2016","06","17"
"107","Potomac 2016 03 28 POD2591 file01.CP109",2016-06-17,16,FALSE,2,"2016","06","17"
"108","Potomac 2016 03 28 POD2591 file01.CP110",2016-06-18,1,FALSE,8,"2016","06","18"
"109","Potomac 2016 03 28 POD2591 file01.CP111",2016-06-18,1,TRUE,3,"2016","06","18"
"110","Potomac 2016 03 28 POD2591 file01.CP112",2016-06-18,6,FALSE,2,"2016","06","18"
"111","Potomac 2016 03 28 POD2591 file01.CP113",2016-06-18,7,FALSE,1,"2016","06","18"
"112","Potomac 2016 03 28 POD2591 file01.CP114",2016-06-18,8,FALSE,8,"2016","06","18"
"113","Potomac 2016 03 28 POD2591 file01.CP115",2016-06-18,8,TRUE,11,"2016","06","18"
"114","Potomac 2016 03 28 POD2591 file01.CP116",2016-06-18,9,FALSE,2,"2016","06","18"
"115","Potomac 2016 03 28 POD2591 file01.CP117",2016-06-18,9,TRUE,2,"2016","06","18"
"116","Potomac 2016 03 28 POD2591 file01.CP118",2016-06-18,11,FALSE,1,"2016","06","18"
"117","Potomac 2016 03 28 POD2591 file01.CP119",2016-06-18,12,TRUE,1,"2016","06","18"
"118","Potomac 2016 03 28 POD2591 file01.CP120",2016-06-18,18,FALSE,1,"2016","06","18"
"119","Potomac 2016 03 28 POD2591 file01.CP121",2016-06-18,18,TRUE,5,"2016","06","18"
"120","Potomac 2016 03 28 POD2591 file01.CP122",2016-06-19,9,FALSE,23,"2016","06","19"
"121","Potomac 2016 03 28 POD2591 file01.CP123",2016-06-19,9,TRUE,2,"2016","06","19"
"122","Potomac 2016 03 28 POD2591 file01.CP124",2016-06-20,5,FALSE,7,"2016","06","20"
"123","Potomac 2016 03 28 POD2591 file01.CP125",2016-06-20,6,TRUE,1,"2016","06","20"
"124","Potomac 2016 03 28 POD2591 file01.CP126",2016-06-21,6,FALSE,1,"2016","06","21"
"125","Potomac 2016 03 28 POD2591 file01.CP127",2016-06-21,20,FALSE,13,"2016","06","21"
