Filename,Date,Hour,Foraging,Total_Events
Potomac 2019 05 31 POD2807 file01.CP143,6/25/2019,5,FALSE,15
Potomac 2019 05 31 POD2807 file01.CP144,6/25/2019,5,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP145,6/26/2019,10,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP146,6/26/2019,10,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP147,6/26/2019,12,FALSE,14
Potomac 2019 05 31 POD2807 file01.CP148,6/26/2019,12,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP149,6/26/2019,13,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP150,6/26/2019,16,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP151,6/26/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP152,6/26/2019,17,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP153,6/27/2019,3,FALSE,17
Potomac 2019 05 31 POD2807 file01.CP154,6/27/2019,3,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP155,6/27/2019,8,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP156,6/27/2019,8,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP157,6/27/2019,12,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP158,6/27/2019,14,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP159,6/27/2019,14,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP160,6/28/2019,2,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP161,6/28/2019,10,FALSE,7
Potomac 2019 05 31 POD2807 file01.CP162,6/28/2019,10,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP163,6/28/2019,12,FALSE,15
Potomac 2019 05 31 POD2807 file01.CP164,6/28/2019,12,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP165,6/28/2019,13,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP166,6/28/2019,13,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP167,6/28/2019,15,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP168,6/28/2019,15,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP169,6/28/2019,16,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP170,6/28/2019,16,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP171,6/28/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP172,6/28/2019,18,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP173,6/29/2019,0,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP174,6/29/2019,1,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP175,6/29/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP176,6/29/2019,2,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP177,6/29/2019,2,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP178,6/29/2019,3,FALSE,14
Potomac 2019 05 31 POD2807 file01.CP179,6/29/2019,3,TRUE,45
Potomac 2019 05 31 POD2807 file01.CP180,6/29/2019,4,FALSE,5
Potomac 2019 05 31 POD2807 file01.CP181,6/29/2019,4,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP182,6/29/2019,6,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP183,6/29/2019,6,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP184,6/29/2019,7,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP185,6/29/2019,7,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP186,6/29/2019,8,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP187,6/29/2019,11,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP188,6/29/2019,17,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP189,6/29/2019,17,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP190,6/29/2019,18,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP191,6/29/2019,18,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP192,6/29/2019,21,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP193,6/29/2019,21,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP194,6/29/2019,22,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP195,6/29/2019,22,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP196,6/30/2019,17,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP197,6/30/2019,20,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP198,7/1/2019,4,FALSE,7
Potomac 2019 05 31 POD2807 file01.CP199,7/1/2019,4,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP200,7/1/2019,13,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP201,7/1/2019,18,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP202,7/1/2019,18,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP203,7/1/2019,19,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP204,7/1/2019,19,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP205,7/2/2019,0,FALSE,23
Potomac 2019 05 31 POD2807 file01.CP206,7/2/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP207,7/2/2019,1,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP208,7/2/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP209,7/2/2019,14,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP210,7/2/2019,16,FALSE,13
Potomac 2019 05 31 POD2807 file01.CP211,7/2/2019,16,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP212,7/2/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP213,7/3/2019,7,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP214,7/3/2019,8,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP215,7/3/2019,19,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP216,7/3/2019,19,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP217,7/3/2019,23,FALSE,24
Potomac 2019 05 31 POD2807 file01.CP218,7/3/2019,23,TRUE,27
Potomac 2019 05 31 POD2807 file01.CP219,7/4/2019,0,FALSE,24
Potomac 2019 05 31 POD2807 file01.CP220,7/4/2019,0,TRUE,36
Potomac 2019 05 31 POD2807 file01.CP221,7/4/2019,1,FALSE,17
Potomac 2019 05 31 POD2807 file01.CP222,7/4/2019,1,TRUE,35
Potomac 2019 05 31 POD2807 file01.CP223,7/4/2019,3,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP224,7/4/2019,3,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP225,7/4/2019,15,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP226,7/5/2019,1,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP227,7/5/2019,1,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP228,7/5/2019,2,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP229,7/5/2019,2,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP230,7/5/2019,3,FALSE,5
Potomac 2019 05 31 POD2807 file01.CP231,7/5/2019,3,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP232,7/5/2019,4,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP233,7/5/2019,20,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP234,7/7/2019,1,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP235,7/7/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP236,7/7/2019,2,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP237,7/7/2019,2,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP238,7/7/2019,20,FALSE,11
Potomac 2019 05 31 POD2807 file01.CP239,7/7/2019,20,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP240,7/8/2019,1,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP241,7/8/2019,2,FALSE,5
Potomac 2019 05 31 POD2807 file01.CP242,7/8/2019,2,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP243,7/8/2019,4,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP244,7/8/2019,5,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP245,7/8/2019,18,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP246,7/8/2019,22,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP247,7/9/2019,4,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP248,7/9/2019,4,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP249,7/9/2019,13,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP250,7/9/2019,13,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP251,7/9/2019,20,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP252,7/9/2019,21,FALSE,25
Potomac 2019 05 31 POD2807 file01.CP253,7/9/2019,21,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP254,7/10/2019,1,FALSE,14
Potomac 2019 05 31 POD2807 file01.CP255,7/10/2019,1,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP256,7/10/2019,2,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP257,7/10/2019,2,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP258,7/10/2019,3,FALSE,11
Potomac 2019 05 31 POD2807 file01.CP259,7/10/2019,3,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP260,7/10/2019,4,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP261,7/10/2019,4,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP262,7/10/2019,7,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP263,7/10/2019,12,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP264,7/10/2019,12,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP265,7/10/2019,23,FALSE,7
Potomac 2019 05 31 POD2807 file01.CP266,7/10/2019,23,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP267,7/11/2019,11,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP268,7/11/2019,17,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP269,7/11/2019,17,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP270,7/11/2019,18,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP271,7/11/2019,18,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP272,7/11/2019,21,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP273,7/11/2019,21,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP274,7/12/2019,0,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP275,7/12/2019,1,FALSE,7
Potomac 2019 05 31 POD2807 file01.CP276,7/12/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP277,7/12/2019,14,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP278,7/12/2019,22,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP279,7/13/2019,10,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP280,7/13/2019,13,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP281,7/13/2019,13,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP282,7/13/2019,15,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP283,7/13/2019,15,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP284,7/13/2019,16,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP285,7/13/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP286,7/14/2019,3,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP287,7/14/2019,3,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP288,7/14/2019,4,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP289,7/14/2019,4,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP290,7/14/2019,21,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP291,7/15/2019,1,FALSE,15
Potomac 2019 05 31 POD2807 file01.CP292,7/15/2019,1,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP293,7/15/2019,17,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP294,7/15/2019,22,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP295,7/15/2019,23,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP296,7/16/2019,0,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP297,7/16/2019,0,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP298,7/16/2019,1,FALSE,13
Potomac 2019 05 31 POD2807 file01.CP299,7/16/2019,1,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP300,7/16/2019,2,FALSE,18
Potomac 2019 05 31 POD2807 file01.CP301,7/16/2019,2,TRUE,29
Potomac 2019 05 31 POD2807 file01.CP302,7/16/2019,6,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP303,7/16/2019,6,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP304,7/16/2019,10,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP305,7/16/2019,22,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP306,7/16/2019,22,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP307,7/16/2019,23,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP308,7/17/2019,0,FALSE,15
Potomac 2019 05 31 POD2807 file01.CP309,7/17/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP310,7/17/2019,1,FALSE,25
Potomac 2019 05 31 POD2807 file01.CP311,7/17/2019,1,TRUE,25
Potomac 2019 05 31 POD2807 file01.CP312,7/17/2019,7,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP313,7/17/2019,7,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP314,7/17/2019,9,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP315,7/17/2019,9,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP316,7/17/2019,10,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP317,7/17/2019,10,TRUE,33
Potomac 2019 05 31 POD2807 file01.CP318,7/17/2019,11,FALSE,13
Potomac 2019 05 31 POD2807 file01.CP319,7/17/2019,11,TRUE,42
Potomac 2019 05 31 POD2807 file01.CP320,7/17/2019,12,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP321,7/17/2019,12,TRUE,50
Potomac 2019 05 31 POD2807 file01.CP322,7/17/2019,13,FALSE,14
Potomac 2019 05 31 POD2807 file01.CP323,7/17/2019,13,TRUE,43
Potomac 2019 05 31 POD2807 file01.CP324,7/17/2019,14,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP325,7/17/2019,14,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP326,7/17/2019,16,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP327,7/17/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP328,7/17/2019,23,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP329,7/18/2019,0,FALSE,18
Potomac 2019 05 31 POD2807 file01.CP330,7/18/2019,0,TRUE,17
Potomac 2019 05 31 POD2807 file01.CP331,7/18/2019,13,FALSE,11
Potomac 2019 05 31 POD2807 file01.CP332,7/18/2019,13,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP333,7/18/2019,14,FALSE,21
Potomac 2019 05 31 POD2807 file01.CP334,7/18/2019,14,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP335,7/18/2019,15,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP336,7/18/2019,23,FALSE,12
