Filename,Date,Hour,Foraging,n
Potomac 2018 06 08 POD2807 file01.CP229,8/10/2018,4,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP230,8/10/2018,18,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP231,8/11/2018,0,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP232,8/11/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP233,8/11/2018,20,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP234,8/12/2018,10,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP235,8/12/2018,11,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP236,8/14/2018,11,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP237,8/14/2018,16,TRUE,17
Potomac 2018 06 08 POD2807 file01.CP238,8/16/2018,1,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP239,8/16/2018,9,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP240,8/16/2018,22,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP241,8/17/2018,2,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP242,8/17/2018,8,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP243,8/17/2018,13,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP244,8/18/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP245,8/19/2018,1,TRUE,15
Potomac 2018 06 08 POD2807 file01.CP246,8/19/2018,2,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP247,8/19/2018,17,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP248,8/20/2018,10,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP249,8/20/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP250,8/20/2018,23,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP251,8/21/2018,18,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP252,8/21/2018,19,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP253,8/22/2018,7,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP254,8/22/2018,8,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP255,8/22/2018,12,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP256,8/24/2018,5,TRUE,13
Potomac 2018 06 08 POD2807 file01.CP257,8/24/2018,10,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP258,8/25/2018,5,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP259,8/25/2018,15,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP260,8/26/2018,0,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP261,8/26/2018,1,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP262,8/26/2018,3,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP263,8/26/2018,4,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP264,8/26/2018,5,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP265,8/26/2018,10,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP266,8/26/2018,11,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP267,8/27/2018,3,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP268,8/27/2018,7,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP269,8/28/2018,7,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP270,8/28/2018,8,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP271,8/28/2018,11,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP272,8/28/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP273,8/29/2018,6,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP274,8/29/2018,21,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP275,8/29/2018,22,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP276,8/30/2018,8,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP277,8/30/2018,12,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP278,8/30/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP279,8/31/2018,3,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP280,8/31/2018,4,TRUE,23
Potomac 2018 06 08 POD2807 file01.CP281,8/31/2018,5,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP282,8/31/2018,7,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP283,8/31/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP284,8/31/2018,19,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP285,9/1/2018,7,TRUE,14
Potomac 2018 06 08 POD2807 file01.CP286,9/1/2018,11,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP287,9/2/2018,2,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP288,9/2/2018,3,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP289,9/2/2018,10,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP290,9/3/2018,1,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP291,9/3/2018,2,TRUE,14
Potomac 2018 06 08 POD2807 file01.CP292,9/3/2018,3,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP293,9/3/2018,12,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP294,9/3/2018,13,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP295,9/4/2018,12,TRUE,13
Potomac 2018 06 08 POD2807 file01.CP296,9/4/2018,18,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP297,9/4/2018,21,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP298,9/5/2018,4,TRUE,12
Potomac 2018 06 08 POD2807 file01.CP299,9/5/2018,5,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP300,9/5/2018,9,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP301,9/5/2018,20,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP302,9/6/2018,1,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP303,9/6/2018,2,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP304,9/6/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP305,9/6/2018,19,TRUE,16
Potomac 2018 06 08 POD2807 file01.CP306,9/6/2018,20,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP307,9/7/2018,16,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP308,9/10/2018,9,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP309,9/10/2018,21,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP310,9/11/2018,7,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP311,9/12/2018,0,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP312,9/12/2018,1,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP313,9/12/2018,4,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP314,9/12/2018,5,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP315,9/12/2018,16,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP316,9/14/2018,20,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP317,9/20/2018,2,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP318,9/21/2018,2,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP319,9/21/2018,3,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP320,9/21/2018,15,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP321,9/22/2018,2,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP322,9/22/2018,3,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP323,9/22/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP324,9/22/2018,5,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP325,9/22/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP326,9/22/2018,8,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP327,9/25/2018,3,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP328,9/25/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP329,9/26/2018,5,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP330,9/26/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP331,9/28/2018,3,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP332,9/28/2018,23,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP333,9/29/2018,0,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP334,9/29/2018,2,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP335,9/29/2018,3,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP336,9/29/2018,4,TRUE,12
Potomac 2018 06 08 POD2807 file01.CP337,9/30/2018,0,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP338,9/30/2018,9,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP339,9/30/2018,10,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP340,10/1/2018,0,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP341,10/1/2018,8,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP342,10/2/2018,0,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP343,10/3/2018,3,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP344,10/3/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP345,10/3/2018,8,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP346,10/4/2018,5,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP347,10/6/2018,1,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP348,10/6/2018,10,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP349,10/6/2018,13,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP350,10/6/2018,23,TRUE,3
